study	status	age	sex	CO	flowLiver	dtype
ircp2001	healthy	0	male	0.6	150	individual
ircp2001	healthy	1	male	1.2	300	individual
ircp2001	healthy	5	male	3.4	850	individual
ircp2001	healthy	10	male	5	1250	individual
ircp2001	healthy	15	male	6.1	1525	individual
ircp2001	healthy	20	male	6.5	1625	individual
ircp2001	healthy	0	female	0.6	150	individual
ircp2001	healthy	1	female	1.2	300	individual
ircp2001	healthy	5	female	3.4	850	individual
ircp2001	healthy	10	female	5	1250	individual
ircp2001	healthy	15	female	6.1	1525	individual
ircp2001	healthy	20	female	5.9	1475	individual
